subject_type	subject_id	predicate_id	first_year	first_claim_id	first_passage_id
proposition	disciples-are-called-to-follow-jesus	person_affirms_proposition	70	clm-jesus-follow	psg-mark-1-16-20
proposition	jesus-teaches-with-unique-authority	person_affirms_proposition	85	clm-jesus-authority	psg-matt-7-28-29
proposition	kingdom-of-god-has-drawn-near	person_affirms_proposition	70	clm-jesus-kingdom	psg-mark-1-14-15
proposition	repentance-is-required	person_affirms_proposition	70	clm-jesus-repentance	psg-mark-1-14-15
