entity_type	entity_id	place_id	year_start	year_end	reason_predicate_id	stance	path_signature
proposition	gentile-believers-need-not-be-circumcised	fair-havens	49	49	derived_proposition_presence	affirms	drv-e93e98e737c494e6
proposition	gentile-believers-need-not-be-circumcised	galatia	49	49	derived_proposition_presence	affirms	drv-8b55870a5c299c51
proposition	gentile-believers-need-not-be-circumcised	jerusalem	49	49	derived_proposition_presence	affirms	drv-b82081a7fa5a6a59
proposition	gentile-believers-need-not-be-circumcised	joppa	49	49	derived_proposition_presence	affirms	drv-750dbe3443f912e7
proposition	gentile-believers-need-not-be-circumcised	malta	49	49	derived_proposition_presence	affirms	drv-bc2c654e627c143d
proposition	gentile-believers-need-not-be-circumcised	miletus	49	49	derived_proposition_presence	affirms	drv-e6af04d16ac2e245
proposition	gentile-believers-need-not-be-circumcised	mitylene	49	49	derived_proposition_presence	affirms	drv-7fe47f3b72168ba4
proposition	gentile-believers-need-not-be-circumcised	myra	49	49	derived_proposition_presence	affirms	drv-2300449e06e8293f
proposition	gentile-believers-need-not-be-circumcised	nicopolis	49	49	derived_proposition_presence	affirms	drv-98851cbb9cd38bd5
proposition	gentile-believers-need-not-be-circumcised	puteoli	49	49	derived_proposition_presence	affirms	drv-d8ee7dd379a80c05
proposition	gentile-believers-need-not-be-circumcised	rhegium	49	49	derived_proposition_presence	affirms	drv-9336cc0c071e57e1
proposition	gentile-believers-need-not-be-circumcised	rome	49	49	derived_proposition_presence	affirms	drv-9b0b7fb4c3dc5556
proposition	gentile-believers-need-not-be-circumcised	samos	49	49	derived_proposition_presence	affirms	drv-9c421520543e958e
proposition	gentile-believers-need-not-be-circumcised	sidon	49	49	derived_proposition_presence	affirms	drv-9df4e68ff5adaa06
proposition	gentile-believers-need-not-be-circumcised	syracuse	49	49	derived_proposition_presence	affirms	drv-b14e62ec0f172a60
proposition	gentile-believers-need-not-be-circumcised	thessalonica	49	49	derived_proposition_presence	affirms	drv-ff259889ad96f664
proposition	gentile-believers-need-not-be-circumcised	three-taverns	49	49	derived_proposition_presence	affirms	drv-dd1f3b88f4003cb8
proposition	gentile-believers-need-not-be-circumcised	troas	49	49	derived_proposition_presence	affirms	drv-3fc82e8783e247e4
proposition	gentile-believers-need-not-be-circumcised	tyre	49	49	derived_proposition_presence	affirms	drv-8fbe27ff59bd97ca
person	timothy	lystra	49	49	active_in		path-bb05c69786e4136a
person	jason	thessalonica	49	50	active_in		path-87b04934e71715ed
person	paul	thessalonica	49	50	active_in		path-cbf36b5e756b7d03
person	silas	thessalonica	49	50	active_in		path-d68a6212b10689a3
person	lydia	philippi	49	60	active_in		path-f9ff536e6d00e47d
group	disciples-of-jesus	rome	49	70	group_present_at		path-5bff8d5dc5d95292
group	philippian-church	philippi	49	70	group_present_at		path-f392536afbf57cc8
group	roman-empire	philippi	49	70	controls_place		path-c5aa9e66ac7ea014
person	damaris	athens	50	50	active_in		path-77c7a7f19036a5fc
person	dionysius	athens	50	50	active_in		path-d1e03a2268cdc2fb
group	disciples-of-jesus	athens	50	50	group_present_at		path-07c0575533082150
work	first-epistle-to-the-thessalonians	thessalonica	50	50	addressed_to_place		path-36e48c3f0cc7db16
proposition	jesus-is-proclaimed-as-raised	thessalonica	50	50	derived_proposition_presence	affirms	drv-38dc62fa70a35ebf
person	paul	athens	50	50	active_in		path-56db34df1035804d
person	paul	berea	50	50	active_in		path-a5f2fdf331d944ab
person	silas	berea	50	50	active_in		path-c92d620ebb5d1f95
person	timothy	berea	50	50	active_in		path-5603b4aa51f32afe
group	thessalonian-church	thessalonica	50	51	group_present_at		path-d342e3f095650cbc
person	aquila	corinth	50	52	active_in		path-c2fc3e61a2c6c4b7
person	crispus	corinth	50	52	active_in		path-1d7e2c34c376cb5b
person	paul	corinth	50	52	active_in		path-14e1ffcfbb44fa9f
person	priscilla	corinth	50	52	active_in		path-7f4ccc2f1bd95445
person	silas	corinth	50	52	active_in		path-f9edc8c996de3479
person	titius-justus	corinth	50	52	active_in		path-499a8480e6706fcc
group	corinthian-church	corinth	50	70	group_present_at		path-95a320cf8dc26648
group	roman-empire	corinth	50	70	controls_place		path-9080bac0a5dffa51
proposition	final-judgment-is-coming	thessalonica	51	51	derived_proposition_presence	affirms	drv-bda000b6589ca127
work	second-epistle-to-the-thessalonians	thessalonica	51	51	addressed_to_place		path-682bb5062ee99fef
person	gallio	achaia	51	52	active_in		path-5e197c24ff52cf3f
person	sosthenes	corinth	51	52	active_in		path-ed8a65399b75cfef
group	followers-of-john-the-baptist	ephesus	52	52	group_present_at		path-40ddeca2516d4630
person	aquila	ephesus	52	55	active_in		path-de0fd4e987beb842
person	paul	ephesus	52	55	active_in		path-ef4942d357c0c120
person	priscilla	ephesus	52	55	active_in		path-8ee4adec6e323b80
group	disciples-of-jesus	ephesus	52	95	group_present_at		path-d6a92f3026d71b72
group	ephesian-church	ephesus	52	95	group_present_at		path-e761661078ebba16
person	apollos	ephesus	53	54	active_in		path-a62bc882813b2a7f
work	first-epistle-to-the-corinthians	corinth	54	54	addressed_to_place		path-c762e0fc1f8d53e5
work	first-epistle-to-the-corinthians	ephesus	54	54	written_at		path-ca30e910f0614025
proposition	jesus-is-proclaimed-as-raised	corinth	54	54	derived_proposition_presence	affirms	drv-64cbc91014dc23ae
proposition	jesus-is-proclaimed-as-raised	ephesus	54	54	derived_proposition_presence	affirms	drv-7fb76bfe93d76f87
