edge_id	from_type	from_id	to_type	to_id	relation_kind	directness	rule_id	year_start	year_end	certainty	supporting_claim_ids	path_text
edge-2dab1917ab21c507	proposition	apostolic-succession-transmits-faith	place	rome	proposition_place	derived	person_affirms_proposition+bishop_of	251	253	probable	clm-cornelius-pope-affirms-succession|clm-cornelius-pope-bishop-rome	person:cornelius-pope → person_affirms_proposition → proposition:apostolic-succession-transmits-faith + person:cornelius-pope → bishop_of → place:rome
edge-7d71b4f3729caf18	person	cornelius-pope	place	rome	person_place	direct	bishop_of	251	253	attested	clm-cornelius-pope-bishop-rome	person:cornelius-pope → bishop_of → place:rome
edge-9bb46fe65ebb3fa8	proposition	post-baptismal-sin-forgiven-by-penance	place	rome	proposition_place	derived	person_affirms_proposition+bishop_of	251	253	probable	clm-cornelius-pope-bishop-rome|clm-cornelius-pope-person-affirms-penance	person:cornelius-pope → person_affirms_proposition → proposition:post-baptismal-sin-forgiven-by-penance + person:cornelius-pope → bishop_of → place:rome
edge-85d2bd5d3a630b18	proposition	post-baptismal-sin-forgiven-by-penance	place	rome	proposition_place	derived	person_opposes_proposition+active_in	251	258	probable	clm-novatian-active-rome|clm-novatian-person-opposes-penance	person:novatian → person_opposes_proposition → proposition:post-baptismal-sin-forgiven-by-penance + person:novatian → active_in → place:rome
edge-b5b60cde3a0fb704	proposition	post-baptismal-sin-forgiven-by-penance	place	carthage	proposition_place	derived	person_opposes_proposition+active_in	251	258	probable	clm-novatian-active-carthage-mission|clm-novatian-person-opposes-penance	person:novatian → person_opposes_proposition → proposition:post-baptismal-sin-forgiven-by-penance + person:novatian → active_in → place:carthage
edge-279f1dd532236deb	group	novatianists	place	carthage	group_place	direct	group_present_at	251	350	probable	clm-novatianists-at-carthage	group:novatianists → group_present_at → place:carthage
edge-b197e165eea499ae	group	novatianists	place	rome	group_place	direct	group_present_at	251	400	attested	clm-novatianists-at-rome	group:novatianists → group_present_at → place:rome
edge-0afdff8cd847f1f0	proposition	rule-of-faith-received-from-apostles	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-de-dom-orat-affirms-rule-of-faith|clm-de-dom-orat-written-carthage	work:de-dominica-oratione → work_affirms_proposition → proposition:rule-of-faith-received-from-apostles + work:de-dominica-oratione → written_at → place:carthage
edge-0c3c1b1b54b6965e	proposition	bishop-authority-over-eucharist	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-de-dom-orat-affirms-bishop-eucharist|clm-de-dom-orat-written-carthage	work:de-dominica-oratione → work_affirms_proposition → proposition:bishop-authority-over-eucharist + work:de-dominica-oratione → written_at → place:carthage
edge-134ab797cb97e111	proposition	eucharist-offered-on-sunday	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-de-dom-orat-affirms-sunday-eucharist|clm-de-dom-orat-written-carthage	work:de-dominica-oratione → work_affirms_proposition → proposition:eucharist-offered-on-sunday + work:de-dominica-oratione → written_at → place:carthage
edge-14adee53c4fb36f7	proposition	post-baptismal-sin-forgiven-by-penance	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-ep64-affirms-penance|clm-ep64-written-carthage	work:epistula-64-cyprian → work_affirms_proposition → proposition:post-baptismal-sin-forgiven-by-penance + work:epistula-64-cyprian → written_at → place:carthage
edge-1553bc1f6fe66f02	proposition	old-testament-is-authoritative-scripture	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-ep64-affirms-ot-authority|clm-ep64-written-carthage	work:epistula-64-cyprian → work_affirms_proposition → proposition:old-testament-is-authoritative-scripture + work:epistula-64-cyprian → written_at → place:carthage
edge-16e62f6c7a1ade13	proposition	episcopal-unity-grounds-church-unity	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-ep64-affirms-episcopal-unity|clm-ep64-written-carthage	work:epistula-64-cyprian → work_affirms_proposition → proposition:episcopal-unity-grounds-church-unity + work:epistula-64-cyprian → written_at → place:carthage
edge-19a05cd78fe890fa	proposition	eucharist-is-body-and-blood	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-de-dom-orat-affirms-eucharist-body-blood|clm-de-dom-orat-written-carthage	work:de-dominica-oratione → work_affirms_proposition → proposition:eucharist-is-body-and-blood + work:de-dominica-oratione → written_at → place:carthage
edge-1c022b616ac8f8ec	proposition	frequent-eucharistic-assembly	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-de-dom-orat-affirms-frequent-eucharist|clm-de-dom-orat-written-carthage	work:de-dominica-oratione → work_affirms_proposition → proposition:frequent-eucharistic-assembly + work:de-dominica-oratione → written_at → place:carthage
edge-27dc1783a1d509cc	proposition	baptism-administered-in-trinitarian-name	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-de-dom-orat-affirms-trinitarian-baptism|clm-de-dom-orat-written-carthage	work:de-dominica-oratione → work_affirms_proposition → proposition:baptism-administered-in-trinitarian-name + work:de-dominica-oratione → written_at → place:carthage
edge-311ac122e0053002	proposition	baptismal-anointing-with-oil	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-ep64-affirms-baptismal-anointing|clm-ep64-written-carthage	work:epistula-64-cyprian → work_affirms_proposition → proposition:baptismal-anointing-with-oil + work:epistula-64-cyprian → written_at → place:carthage
edge-35852b369c548cc0	proposition	baptism-administered-in-trinitarian-name	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-ep64-affirms-trinitarian-baptism|clm-ep64-written-carthage	work:epistula-64-cyprian → work_affirms_proposition → proposition:baptism-administered-in-trinitarian-name + work:epistula-64-cyprian → written_at → place:carthage
edge-437ae2062a64a5be	proposition	episcopal-unity-grounds-church-unity	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-de-dom-orat-affirms-episcopal-unity|clm-de-dom-orat-written-carthage	work:de-dominica-oratione → work_affirms_proposition → proposition:episcopal-unity-grounds-church-unity + work:de-dominica-oratione → written_at → place:carthage
edge-53a67b867891574e	proposition	prayer-is-offered-without-ceasing	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-de-dom-orat-affirms-prayer-unceasing|clm-de-dom-orat-written-carthage	work:de-dominica-oratione → work_affirms_proposition → proposition:prayer-is-offered-without-ceasing + work:de-dominica-oratione → written_at → place:carthage
edge-5515213545986c3d	proposition	almsgiving-is-required	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-de-dom-orat-affirms-almsgiving|clm-de-dom-orat-written-carthage	work:de-dominica-oratione → work_affirms_proposition → proposition:almsgiving-is-required + work:de-dominica-oratione → written_at → place:carthage
