proposition_id	place_id	year_start	year_end	stance	supporting_claim_count	opposing_claim_count	derived_edge_ids	derivation_hash
logos-is-pre-existent-son-of-god	jerusalem	90	100	affirms	1	0	edge-14376bb35ba49c16	drv-169330aee1466b8c
logos-is-pre-existent-son-of-god	patmos	90	100	affirms	1	0	edge-420f671759aa0503	drv-a6a61a569524d81a
christ-truly-became-flesh	ephesus	90	120	opposes	0	1	edge-d491070894f31fcf	drv-ceed43ee9655536f
christ-truly-suffered-and-died	ephesus	90	120	opposes	0	1	edge-81b25bce48942d01	drv-706e87a2c30a32ba
jesus-born-of-virgin	ephesus	90	120	opposes	0	1	edge-8cf39b6cfaf0eaef	drv-c664643b8b88ef16
logos-is-pre-existent-son-of-god	ephesus	90	120	opposes	0	1	edge-b61aa425fcf8b23b	drv-9f7cb7d0a66ad316
old-testament-is-authoritative-scripture	ephesus	90	120	opposes	0	1	edge-7892d45e3a3263f8	drv-6f9356d1d336ae79
final-judgment-is-coming	ephesus	95	95	affirms	1	0	edge-731c3076036831c5	drv-f40fc86e6237deb1
final-judgment-is-coming	laodicea	95	95	affirms	1	0	edge-5b925ce4078b520a	drv-e55994d8cf0bc648
final-judgment-is-coming	patmos	95	95	affirms	1	0	edge-edf1d48b57536346	drv-f8fb39aab2f9aaa0
final-judgment-is-coming	pergamum	95	95	affirms	1	0	edge-8537b7c6637991f0	drv-e1fcb5d3c9fd2167
final-judgment-is-coming	philadelphia-asia	95	95	affirms	1	0	edge-97f2e61225ca6554	drv-62cedd97a3769033
final-judgment-is-coming	sardis	95	95	affirms	1	0	edge-83df963d729bc88b	drv-508b075df2fbef69
final-judgment-is-coming	smyrna	95	95	affirms	1	0	edge-265ce94dbe8f7759	drv-359e13935c7eca00
final-judgment-is-coming	thyatira	95	95	affirms	1	0	edge-776b77315bdb5a2a	drv-4bda7cb0d1b2bec4
martyrdom-witnesses-to-christ	ephesus	95	95	affirms	1	0	edge-7935bca4d84e70c5	drv-4584bb412f62210e
martyrdom-witnesses-to-christ	laodicea	95	95	affirms	1	0	edge-2e3e9476ac2a9f97	drv-e01b45f890a746c1
martyrdom-witnesses-to-christ	patmos	95	95	affirms	1	0	edge-18fdd00ab6e75d2b	drv-bbdc7f2e0ae6971b
martyrdom-witnesses-to-christ	pergamum	95	95	affirms	1	0	edge-f765a2e996fd7732	drv-208c0e738de578e2
martyrdom-witnesses-to-christ	philadelphia-asia	95	95	affirms	1	0	edge-65a5d62efcb598da	drv-d01fe53f70d330a6
martyrdom-witnesses-to-christ	sardis	95	95	affirms	1	0	edge-079f3039bb488de1	drv-2ab59890bd9d0397
martyrdom-witnesses-to-christ	smyrna	95	95	affirms	1	0	edge-e688155e04c5110c	drv-1cd9c04d421c6922
martyrdom-witnesses-to-christ	thyatira	95	95	affirms	1	0	edge-9ffb06831c0409d7	drv-c2219f867e3afdbb
martyrs-relics-honored	ephesus	95	95	affirms	1	0	edge-09ea42a430714202	drv-8ef9e858e6fbed10
