raw_city_ancient	raw_country_modern	raw_city_modern	canonical_city_slug	canonical_city_label	notes
Neocaesarea	Türkiye	Niksar	neocaesarea-niksar	Neocaesarea	
Nicaea	Türkiye	Iznik	nicaea-iznik	Nicaea	
Nicomedia	Türkiye	Izmit	nicomedia-izmit	Nicomedia	
Nicopolis	Greece	Nicopolis (Preveza area)	nicopolis-nicopolis-preveza-area	Nicopolis	
Nisibis	Türkiye	Nusaybin	nisibis-nusaybin	Nisibis	
Ostia	Italy	Ostia Antica	ostia-ostia-antica	Ostia	
Oxyrhynchus	Egypt	El Bahnasa	oxyrhynchus-el-bahnasa	Oxyrhynchus	
Palmyra	Syria	Tadmur	palmyra-tadmur	Palmyra	
Paphos	Cyprus	Paphos	paphos-paphos	Paphos	
Patmos	Greece	Patmos	patmos-patmos	Patmos	
Pella	Jordan	Pella (Tabaqat Fahl)	pella-pella-tabaqat-fahl	Pella	
Pepuza	Türkiye	near Uşak (exact location debated)	pepuza-near-usak-exact-location-debated	Pepuza	
Perga	Türkiye	Aksu	perga-aksu	Perga	
Pergamon	Türkiye	Bergama	pergamon-bergama	Pergamon	
Petra	Jordan	Petra	petra-petra	Petra	
Philadelphia	Türkiye	Alaşehir	philadelphia-alasehir	Philadelphia	
Philadelphia (Arabia)	Jordan	Amman	philadelphia-arabia-amman	Philadelphia (Arabia)	
Philippi	Greece	Filippoi	philippi-filippoi	Philippi	
Philippopolis	Bulgaria	Plovdiv	philippopolis-plovdiv	Philippopolis	
Pisidian Antioch	Türkiye	Yalvac	pisidian-antioch-yalvac	Pisidian Antioch	
Ptolemais	Israel	Akko	ptolemais-akko	Ptolemais	
Puteoli	Italy	Pozzuoli	puteoli-pozzuoli	Puteoli	
Ravenna	Italy	Ravenna	ravenna-ravenna	Ravenna	
Rhegium	Italy	Reggio Calabria	rhegium-reggio-calabria	Rhegium	
Rome	Italy	Rome	rome-rome	Rome	
Salona	Croatia	Solin (near Split)	salona-solin-near-split	Salona	
Samaria	Israel	Sebastia	samaria-sebastia	Samaria	
Samaria	Palestinian Territories	Sebastiyah	samaria-sebastiyah	Samaria	
Samosata	Türkiye	Samsat (submerged)	samosata-samsat-submerged	Samosata	
Sardis	Türkiye	Sart	sardis-sart	Sardis	
Scythopolis	Israel	Bet She'an	scythopolis-bet-shean	Scythopolis	
Sebaste	Türkiye	Sivas	sebaste-sivas	Sebaste	
Seleucia Pieria	Türkiye	Çevlik	seleucia-pieria-cevlik	Seleucia Pieria	
Seleucia-Ctesiphon	Iraq	Al-Madain	seleucia-ctesiphon-al-madain	Seleucia-Ctesiphon	
Serdica	Bulgaria	Sofia	serdica-sofia	Serdica	
Sidon	Lebanon	Sidon (Saida)	sidon-sidon-saida	Sidon	
Sinope	Türkiye	Sinop	sinope-sinop	Sinope	
Sirmium	Serbia	Sremska Mitrovica	sirmium-sremska-mitrovica	Sirmium	
Smyrna	Türkiye	Izmir	smyrna-izmir	Smyrna	
Syracuse	Italy	Syracuse	syracuse-syracuse	Syracuse	
Tarraco	Spain	Tarragona	tarraco-tarragona	Tarraco	
Tarsus	Türkiye	Tarsus	tarsus-tarsus	Tarsus	
Thebes	Egypt	Luxor	thebes-luxor	Thebes	
Thessalonica	Greece	Thessaloniki	thessalonica-thessaloniki	Thessalonica	
Thyatira	Türkiye	Akhisar	thyatira-akhisar	Thyatira	
Tiberias	Israel	Tiberias	tiberias-tiberias	Tiberias	
Tolosa	France	Toulouse	tolosa-toulouse	Tolosa	
Tomis	Romania	Constanta	tomis-constanta	Tomis	
Trapezus	Türkiye	Trabzon	trapezus-trabzon	Trapezus	
Troas	Türkiye	Alexandria Troas	troas-alexandria-troas	Troas	
Tyre	Lebanon	Tyre (Sur)	tyre-tyre-sur	Tyre	
Vagharshapat	Armenia	Vagharshapat (Etchmiadzin)	vagharshapat-vagharshapat-etchmiadzin	Vagharshapat	
Valentia	Spain	Valencia	valentia-valencia	Valentia	
Vienne	France	Vienne	vienne-vienne	Vienne	
