alias	canonical_city_slug	alias_kind
Leptis Magna	leptis-magna-leptis-magna-near-al-khums	ancient_name
Leptis Magna (near Al Khums)	leptis-magna-leptis-magna-near-al-khums	modern_name
Londinium	londinium-london	ancient_name
London	londinium-london	modern_name
Lugdunum	lugdunum-lyon	ancient_name
Luxor	thebes-luxor	modern_name
Lyon	lugdunum-lyon	modern_name
Lystra	lystra-hatunsaray	ancient_name
Malabar Coast (India)	malabar-coast-india-kerala-region	ancient_name
Malta	malta-valletta-area	ancient_name
Marseille	massilia-marseille	modern_name
Massilia	massilia-marseille	ancient_name
Mediolanum	mediolanum-milan	ancient_name
Memphis	memphis-mit-rahina-near-cairo	ancient_name
Mérida	emerita-augusta-merida	modern_name
Milan	mediolanum-milan	modern_name
Milet	miletus-milet	modern_name
Miletus	miletus-milet	ancient_name
Mit Rahina (near Cairo)	memphis-mit-rahina-near-cairo	modern_name
Mtskheta	mtskheta-mtskheta	ancient_name
Mtskheta	mtskheta-mtskheta	modern_name
Myra	myra-demre	ancient_name
Nablus	flavia-neapolis-nablus	modern_name
Naissus	naissus-nis	ancient_name
Naples	neapolis-naples	modern_name
Narbo	narbo-narbonne	ancient_name
Narbonne	narbo-narbonne	modern_name
Nazareth	nazareth-nazareth	ancient_name
Nazareth	nazareth-nazareth	modern_name
Nazianzus	nazianzus-bekarlar-near-guzelyurt	ancient_name
Neapolis	neapolis-naples	ancient_name
near Honaz	colossae-near-honaz	modern_name
near Karaman	derbe-near-karaman	modern_name
near Uşak (exact location debated)	pepuza-near-usak-exact-location-debated	modern_name
Neocaesarea	neocaesarea-niksar	ancient_name
Nicaea	nicaea-iznik	ancient_name
Nicomedia	nicomedia-izmit	ancient_name
Nicopolis	nicopolis-nicopolis-preveza-area	ancient_name
Nicopolis (Preveza area)	nicopolis-nicopolis-preveza-area	modern_name
Niksar	neocaesarea-niksar	modern_name
Niš	naissus-nis	modern_name
Nisibis	nisibis-nusaybin	ancient_name
Nusaybin	nisibis-nusaybin	modern_name
Ostia	ostia-ostia-antica	ancient_name
Ostia Antica	ostia-ostia-antica	modern_name
Oxyrhynchus	oxyrhynchus-el-bahnasa	ancient_name
Palmyra	palmyra-tadmur	ancient_name
Pamukkale	hierapolis-pamukkale	modern_name
Paphos	paphos-paphos	ancient_name
Paphos	paphos-paphos	modern_name
Patmos	patmos-patmos	ancient_name
Patmos	patmos-patmos	modern_name
Pella	pella-pella-tabaqat-fahl	ancient_name
Pella (Tabaqat Fahl)	pella-pella-tabaqat-fahl	modern_name
Pepuza	pepuza-near-usak-exact-location-debated	ancient_name
Perga	perga-aksu	ancient_name
Pergamon	pergamon-bergama	ancient_name
Petra	petra-petra	ancient_name
Petra	petra-petra	modern_name
Petronell-Carnuntum	carnuntum-petronell-carnuntum	modern_name
Philadelphia	philadelphia-alasehir	ancient_name
Philadelphia (Arabia)	philadelphia-arabia-amman	ancient_name
Philippi	philippi-filippoi	ancient_name
Philippopolis	philippopolis-plovdiv	ancient_name
Pisidian Antioch	pisidian-antioch-yalvac	ancient_name
Plovdiv	philippopolis-plovdiv	modern_name
Pozzuoli	puteoli-pozzuoli	modern_name
Ptolemais	ptolemais-akko	ancient_name
Puteoli	puteoli-pozzuoli	ancient_name
Ravenna	ravenna-ravenna	ancient_name
Ravenna	ravenna-ravenna	modern_name
Reggio Calabria	rhegium-reggio-calabria	modern_name
Rhegium	rhegium-reggio-calabria	ancient_name
Rome	rome-rome	ancient_name
Rome	rome-rome	modern_name
Salihiye (submerged)	dura-europos-salihiye-submerged	modern_name
Salona	salona-solin-near-split	ancient_name
Samaria	samaria-sebastia	ancient_name
Samaria	samaria-sebastiyah	ancient_name
Samosata	samosata-samsat-submerged	ancient_name
Samsat (submerged)	samosata-samsat-submerged	modern_name
Şanlıurfa	edessa-sanl-urfa	modern_name
Santa Maria Capua Vetere	capua-santa-maria-capua-vetere	modern_name
Sardis	sardis-sart	ancient_name
Sart	sardis-sart	modern_name
Scythopolis	scythopolis-bet-shean	ancient_name
Sebaste	sebaste-sivas	ancient_name
Sebastia	samaria-sebastia	modern_name
Sebastiyah	samaria-sebastiyah	modern_name
Selcuk area	ephesus-selcuk-area	modern_name
Seleucia Pieria	seleucia-pieria-cevlik	ancient_name
Seleucia-Ctesiphon	seleucia-ctesiphon-al-madain	ancient_name
Serdica	serdica-sofia	ancient_name
Seville	hispalis-seville	modern_name
Shahhat	cyrene-shahhat	modern_name
Sheikh Ibada	antinoopolis-sheikh-ibada	modern_name
Sidon	sidon-sidon-saida	ancient_name
Sidon (Saida)	sidon-sidon-saida	modern_name
Sinop	sinope-sinop	modern_name
Sinope	sinope-sinop	ancient_name
Sirmium	sirmium-sremska-mitrovica	ancient_name
Sivas	sebaste-sivas	modern_name
Smyrna	smyrna-izmir	ancient_name
Sofia	serdica-sofia	modern_name
Solin (near Split)	salona-solin-near-split	modern_name
Sremska Mitrovica	sirmium-sremska-mitrovica	modern_name
Syracuse	syracuse-syracuse	ancient_name
Syracuse	syracuse-syracuse	modern_name
Tadmur	palmyra-tadmur	modern_name
Tarraco	tarraco-tarragona	ancient_name
Tarragona	tarraco-tarragona	modern_name
Tarsus	tarsus-tarsus	ancient_name
Tarsus	tarsus-tarsus	modern_name
Thebes	thebes-luxor	ancient_name
Thessalonica	thessalonica-thessaloniki	ancient_name
Thessaloniki	thessalonica-thessaloniki	modern_name
Thyatira	thyatira-akhisar	ancient_name
Tiberias	tiberias-tiberias	ancient_name
Tiberias	tiberias-tiberias	modern_name
Tolosa	tolosa-toulouse	ancient_name
Tomis	tomis-constanta	ancient_name
Toulouse	tolosa-toulouse	modern_name
Trabzon	trapezus-trabzon	modern_name
Trapezus	trapezus-trabzon	ancient_name
Trier	augusta-treverorum-trier	modern_name
Troas	troas-alexandria-troas	ancient_name
Tyre	tyre-tyre-sur	ancient_name
Tyre (Sur)	tyre-tyre-sur	modern_name
Umm Qays	gadara-umm-qays	modern_name
Vagharshapat	vagharshapat-vagharshapat-etchmiadzin	ancient_name
Vagharshapat (Etchmiadzin)	vagharshapat-vagharshapat-etchmiadzin	modern_name
Valencia	valentia-valencia	modern_name
Valentia	valentia-valencia	ancient_name
Valletta area	malta-valletta-area	modern_name
Veria	beroia-veria	modern_name
Vienne	vienne-vienne	ancient_name
Vienne	vienne-vienne	modern_name
Yalvac	pisidian-antioch-yalvac	modern_name
York	eboracum-york	modern_name
Zaragoza	caesaraugusta-zaragoza	modern_name
